Timestamp,ID,Universidad,Edad,Sexo,Viajo,Grado,Trabajo_Actual,Perfil_Pretendido,2Dias,2anios,Estudio_Grado,Programacion,Financiacion,Horas_Trabajo,Referencias,Ingreso,Org,Acceso,Hijos,Propietario,Valor_Cuota,Que_Busca,Exigencia,Actual_DS,Charlas
9/14/2021 6:37:25,26932329,UBA,40 a 44,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Ciencias de la Salud,0 a 299 horas,100% de mi bolsillo,mas de 50 horas,Ambas,No,No,"Ciudad Universitaria, Capital Federal",2,Propietario,Si,Ambos,Alto,No,UBA
9/14/2021 2:55:56,2111996,Austral,45 y mas,Femenino,No,UBA,Academico,Academico,"No, solo hasta dos dias",Si,Ciencias de la Salud,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Medio,No,Austral
9/14/2021 9:32:45,32439715,Austral,35 a 39,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Ciencias de la Salud,300 a 1000 horas,100% de mi bolsillo,De 20 a 39,Solo UBA,No,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Medio,Si,ninguna
9/14/2021 6:55:52,44,UBA,35 a 39,Femenino,No,Universidad Publica distinta a UBA,Negocios,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Alto,No,ninguna
9/14/2021 9:29:24,2269,UBA,menor a 30,Femenino,No,UBA,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Alto,No,UBA
9/14/2021 10:05:13,5,UBA,30 a 34,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,300 a 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Alto,Si,UBA
9/14/2021 4:51:14,1917,UBA,35 a 39,Masculino,No,UBA,Tecnico,Tecnico,"No, solo hasta dos dias","No, puede que no",Economia,300 a 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",2,Propietario,Si,Ambos,Alto,No,UBA
9/14/2021 10:48:38,2212,UBA,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Academico,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,300 a 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Medio,No,ninguna
9/14/2021 10:48:33,6271,UBA,30 a 34,Femenino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo Austral,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Conocimiento,Medio,No,UBA
9/14/2021 9:50:44,34603202,Austral,menor a 30,Femenino,No,Universidad Publica distinta a UBA,Negocios,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Medio,No,ninguna
9/14/2021 8:03:48,12022011,Austral,30 a 34,Femenino,No,UBA,Tecnico,Negocios,"No, solo hasta dos dias","No, puede que no",Economia,0 a 299 horas,100% de mi bolsillo,De 20 a 39,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",2,Propietario,No,Ambos,Medio,No,Austral
9/14/2021 5:43:53,27310154,Austral,40 a 44,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"No, solo hasta dos dias","No, puede que no",Economia,0 a 299 horas,100% de mi bolsillo,De 20 a 39,Solo Austral,No,No,"Ciudad Universitaria, Capital Federal",3,Propietario,No,Conocimiento,Medio,No,UBA
9/14/2021 7:16:35,33210626,UBA,30 a 34,Masculino,No,UBA,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Economia,300 a 1000 horas,"Beca parcial de la Universidad, el resto lo cubro yo",De 20 a 39,Solo UBA,Si,No,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Medio,No,ninguna
9/14/2021 2:52:56,7,Austral,35 a 39,Masculino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"No, solo hasta dos dias",Si,Economia,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ambas,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Medio,No,ambas
9/14/2021 8:28:23,34957403,Austral,30 a 34,Femenino,No,UBA,Tecnico,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ambas,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,Si,Austral
9/14/2021 10:22:41,137,UBA,35 a 39,Femenino,No,Universidad Publica distinta a UBA,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Exactas,300 a 1000 horas,100% de mi bolsillo,Menos de 20,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Inquilino,Si,Ambos,Alto,No,ninguna
9/14/2021 8:18:45,232323,UBA,menor a 30,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Exactas,300 a 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,No,"Ciudad Universitaria, Capital Federal",0,Inquilino,Si,Ambos,Alto,Si,ninguna
9/14/2021 9:12:42,2114,UBA,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Academico,"Si, estoy dipuesto a cursar 3 dias",Si,Exactas,300 a 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,No,,0,Inquilino,Si,Ambos,Medio,Si,ninguna
9/14/2021 10:41:13,474077,UBA,40 a 44,Masculino,No,UBA,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Exactas,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Solo UBA,Si,No,"Ciudad Universitaria, Capital Federal",0,Inquilino,Si,Ambos,Alto,No,ninguna
9/14/2021 9:53:37,606653,UBA,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Inquilino,Si,Conocimiento,Alto,No,ninguna
9/14/2021 9:18:30,3041988,Austral,30 a 34,Femenino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Alto,No,Austral
9/14/2021 10:57:40,46537,UBA,35 a 39,Femenino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,Menos de 20,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Alto,No,UBA
9/14/2021 9:16:06,33557804,Austral,30 a 34,Femenino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,mas de 50 horas,Ninguna,No,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Medio,No,Austral
9/14/2021 5:43:56,8484,UBA,45 y mas,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,De 20 a 39,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",,Propietario,Si,Conocimiento,Medio,Si,ninguna
9/14/2021 8:57:26,1414,UBA,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,No,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Medio,No,ninguna
9/14/2021 9:36:14,930727,UBA,menor a 30,Femenino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Ingenieria de Software,,100% de mi bolsillo,40 a 50,Ninguna,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,No,Austral
9/14/2021 9:19:58,13893,UBA,menor a 30,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Ingenieria de Software,mas de 1000 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ambas,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Alto,No,ambas
9/14/2021 8:07:18,1409,UBA,30 a 34,Femenino,No,UBA,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",otras Ciencias Naturales,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Ciudad Universitaria, Capital Federal",1,Propietario,No,Ambos,Alto,No,ninguna
9/14/2021 9:32:07,437626,Austral,menor a 30,Masculino,No,UBA,Academico,Academico,"Si, estoy dipuesto a cursar 3 dias",Si,otras Ciencias Naturales,mas de 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,No,Ambos,Alto,Si,ninguna
9/14/2021 6:15:27,1957,UBA,30 a 34,Masculino,No,UBA,Academico,Negocios,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",otras Ciencias Naturales,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Medio,No,UBA
9/14/2021 8:25:42,17,Austral,30 a 34,Masculino,No,UBA,Academico,Negocios,"No, solo hasta dos dias",Si,otras Ciencias Naturales,0 a 299 horas,"Beca parcial de la Universidad, el resto lo cubro yo",mas de 50 horas,Solo UBA,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,No,ninguna
9/14/2021 10:52:13,8011,Austral,40 a 44,Masculino,No,UBA,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,otras Ciencias Sociales,0 a 299 horas,100% de mi bolsillo,De 20 a 39,Solo UBA,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Alto,No,Austral
9/14/2021 9:29:46,924,Austral,menor a 30,Femenino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,otras Ciencias Sociales,0 a 299 horas,"Beca parcial de la Universidad, el resto lo cubro yo",40 a 50,Solo UBA,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Alto,No,Austral
9/14/2021 9:37:02,7636,Austral,35 a 39,Masculino,No,UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,otras Ciencias Sociales,300 a 1000 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Solo UBA,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Alto,Si,Austral
9/14/2021 10:10:29,818,Austral,menor a 30,Masculino,No,Universidad Privada distinta a Austral,Negocios,Academico,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,300 a 1000 horas,100% de mi bolsillo,De 20 a 39,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,No,Ambos,Alto,Si,Austral
9/14/2021 9:17:07,2.02E+13,Austral,35 a 39,Masculino,No,Universidad Privada distinta a Austral,Tecnico,,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Otras ingenierias,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,No,Conocimiento,Alto,No,ninguna
9/14/2021 8:37:54,7,UBA,35 a 39,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Otras ingenierias,0 a 299 horas,100% de mi bolsillo,40 a 50,Ambas,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Alto,No,ambas
9/14/2021 9:46:29,2633,UBA,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Negocios,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Otras ingenierias,mas de 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Curriculum,Alto,Si,UBA
9/14/2021 9:24:28,391004,Austral,menor a 30,Femenino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo UBA,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Conocimiento,Medio,Si,ninguna
9/14/2021 7:59:35,616161,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Otras ingenierias,0 a 299 horas,100% de mi bolsillo,,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Medio,No,Austral
9/14/2021 7:01:16,12151,UBA,35 a 39,Masculino,No,UBA,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Otras ingenierias,0 a 299 horas,"Beca parcial de la Universidad, el resto lo cubro yo",40 a 50,Ninguna,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,Si,ninguna
9/14/2021 6:51:58,101110,UBA,45 y mas,Masculino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,300 a 1000 horas,Mi empleador me cubre el 100%,mas de 50 horas,Ambas,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",2,Propietario,No,Ambos,Alto,Si,ninguna
9/14/2021 9:31:42,2214,Austral,45 y mas,Masculino,No,,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Otras ingenierias,0 a 299 horas,Mi empleador me cubre el 100%,mas de 50 horas,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Alto,No,Austral
9/14/2021 10:46:49,111213,UBA,45 y mas,Femenino,No,Universidad Publica distinta a UBA,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Otras ingenierias,300 a 1000 horas,Mi empleador me cubre el 100%,40 a 50,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Medio,No,ninguna
9/14/2021 9:27:39,1001,Austral,40 a 44,Masculino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"No, solo hasta dos dias",Si,Otras ingenierias,mas de 1000 horas,Mi empleador me cubre el 100%,40 a 50,Solo Austral,No,Si,"Ciudad Universitaria, Capital Federal",2,Propietario,Si,Ambos,Medio,Si,ninguna
9/14/2021 9:56:14,26,Austral,menor a 30,Masculino,No,UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,Otras ingenierias,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Solo UBA,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Alto,No,ambas
9/14/2021 8:56:52,10150482,UBA,35 a 39,Masculino,No,UBA,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,otro,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo UBA,No,No,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Alto,No,ninguna
9/14/2021 11:17:23,9122018,UBA,menor a 30,Masculino,No,UBA,Negocios,,"Si, estoy dipuesto a cursar 3 dias",Si,otras Ciencias Sociales,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Inquilino,No,Ambos,Alto,Si,UBA
9/14/2021 11:30:24,999728,UBA,menor a 30,Masculino,No,UBA,Academico,Academico,"Si, estoy dipuesto a cursar 3 dias",Si,Exactas,300 a 1000 horas,"Beca parcial de la Universidad, el resto lo cubro yo",40 a 50,Solo UBA,Si,No,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Medio,Si,ninguna
