Timestamp,ID,Universidad,Edad,Sexo,Viajo,Grado,Trabajo_Actual,Perfil_Pretendido,2Dias,2anios,Estudio_Grado,Programacion,Financiacion,Horas_Trabajo,Referencias,Ingreso,Org,Acceso,Hijos,Propietario,Valor_Cuota,Que_Busca,Exigencia,Actual_DS,Charlas
9/14/2021 11:37:04,72,UBA,35 a 39,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Otras ingenierias,0 a 299 horas,100% de mi bolsillo,De 20 a 39,Solo UBA,Si,No,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Conocimiento,Medio,No,ninguna
9/14/2021 13:59:43,6.26E+12,Austral,30 a 34,Masculino,No,UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,otro,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Medio,No,ambas
9/14/2021 14:17:50,1094,Austral,menor a 30,Femenino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Medio,Si,Austral
9/14/2021 14:28:21,100,UBA,35 a 39,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,De 20 a 39,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Alto,No,ninguna
9/14/2021 14:42:23,3791,UBA,menor a 30,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Exactas,mas de 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Curriculum,Alto,Si,Austral
9/14/2021 14:46:42,1.11E+11,UBA,menor a 30,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Exactas,mas de 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Curriculum,Alto,Si,ninguna
9/14/2021 14:48:28,881411,Austral,30 a 34,Masculino,No,UBA,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,300 a 1000 horas,"Beca parcial de la Universidad, el resto lo cubro yo",40 a 50,Solo Austral,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Alto,Si,ambas
9/14/2021 15:21:36,913293,Austral,30 a 34,Masculino,No,Universidad Publica distinta a UBA,Negocios,Tecnico,"No, solo hasta dos dias",Si,Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Alto,No,Austral
9/14/2021 16:44:30,339,Austral,menor a 30,Femenino,No,Universidad Privada distinta a Austral,Negocios,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Alto,No,Austral
9/14/2021 17:45:53,30283028,Austral,30 a 34,Femenino,No,Universidad Publica distinta a UBA,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,otro,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Alto,No,Austral
9/14/2021 18:01:01,36357404,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Medio,No,ninguna
9/14/2021 18:10:26,175,UBA,40 a 44,Masculino,No,UBA,Tecnico,Tecnico,"No, solo hasta dos dias","No, puede que no",Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Ciudad Universitaria, Capital Federal",1,Propietario,Si,Ambos,Medio,Si,UBA
9/14/2021 18:38:50,1,Austral,30 a 34,Femenino,No,Universidad Privada distinta a Austral,Tecnico,Negocios,"No, solo hasta dos dias","No, puede que no",otras Ciencias Sociales,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Medio,Si,ninguna
9/14/2021 18:45:17,4294967297,Austral,40 a 44,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Otras ingenierias,300 a 1000 horas,100% de mi bolsillo,mas de 50 horas,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",1,Propietario,No,Conocimiento,Medio,Si,ninguna
9/14/2021 19:13:34,2244,UBA,menor a 30,Femenino,No,UBA,Negocios,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,otras Ciencias Sociales,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Alto,No,ambas
9/14/2021 19:21:32,5559401,UBA,30 a 34,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,mas de 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Alto,No,ninguna
9/14/2021 19:26:53,975257,UBA,menor a 30,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Alto,Si,ambas
9/14/2021 19:49:31,122127,UBA,menor a 30,Femenino,No,Universidad Privada distinta a Austral,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,otras Ciencias Naturales,300 a 1000 horas,"Beca parcial de la Universidad, el resto lo cubro yo",De 20 a 39,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Medio,Si,ninguna
9/14/2021 20:40:14,6.30E+17,UBA,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Academico,Negocios,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Otras ingenierias,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,No,,0,Inquilino,Si,Ambos,Alto,No,ninguna
9/14/2021 20:54:09,30743524,UBA,35 a 39,Femenino,No,Universidad Privada distinta a Austral,Academico,Academico,"No, solo hasta dos dias","No, puede que no",Economia,300 a 1000 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Solo UBA,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,No,UBA
9/14/2021 21:34:26,31,UBA,35 a 39,Femenino,No,UBA,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Exactas,300 a 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,No,"Ciudad Universitaria, Capital Federal",1,Propietario,Si,Conocimiento,Alto,No,ninguna
9/14/2021 23:18:57,1995,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo Austral,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,Si,ninguna
9/14/2021 23:31:59,51882065,Austral,menor a 30,Femenino,SÃ­,Universidad Publica distinta a UBA,Tecnico,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,otro,0 a 299 horas,100% de mi bolsillo,mas de 50 horas,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Medio,No,Austral
9/14/2021 23:47:59,19840926,Austral,35 a 39,Masculino,No,Universidad Publica distinta a UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,Otras ingenierias,mas de 1000 horas,100% de mi bolsillo,40 a 50,Ambas,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,No,ambas
9/15/2021 7:02:59,1480,Austral,40 a 44,Masculino,No,Austral,Tecnico,Academico,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Solo Austral,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",3,Propietario,Si,Ambos,Medio,No,ambas
9/15/2021 7:05:45,1480,Austral,40 a 44,Masculino,No,Austral,Tecnico,Academico,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,0 a 299 horas,"Beca parcial de la Universidad, el resto lo cubro yo",40 a 50,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",3,Propietario,Si,Ambos,Medio,No,Austral
9/15/2021 8:16:07,17032,Austral,30 a 34,Femenino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Otras ingenierias,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",mas de 50 horas,Ninguna,No,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Medio,Si,ninguna
9/15/2021 8:46:57,890713,Austral,35 a 39,Femenino,No,UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Exactas,0 a 299 horas,100% de mi bolsillo,40 a 50,Ambas,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Alto,Si,ninguna
9/15/2021 8:52:26,30170249,Austral,45 y mas,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Otras ingenierias,mas de 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Alto,No,ninguna
9/15/2021 10:07:30,20841779,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Negocios,Tecnico,"No, solo hasta dos dias",Si,Economia,300 a 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Medio,Si,Austral
9/15/2021 10:16:11,32358469,Austral,30 a 34,Femenino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"No, solo hasta dos dias",Si,otras Ciencias Sociales,0 a 299 horas,Mi empleador me cubre el 100%,40 a 50,Solo Austral,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Medio,No,Austral
9/15/2021 10:34:01,1.11E+166,Austral,35 a 39,Masculino,No,Universidad Privada distinta a Austral,Negocios,Tecnico,"No, solo hasta dos dias",Si,Economia,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Alto,No,ambas
9/15/2021 11:06:09,309577,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,otras Ciencias Sociales,0 a 299 horas,"Beca parcial de la Universidad, el resto lo cubro yo",De 20 a 39,Ninguna,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Medio,No,Austral
9/15/2021 12:58:06,30742276,UBA,35 a 39,Femenino,No,Universidad Publica distinta a UBA,Negocios,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Ingenieria de Software,mas de 1000 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,No,ninguna
9/15/2021 14:19:30,5769017,Austral,menor a 30,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,otro,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Inquilino,Si,Conocimiento,Alto,No,ambas
9/15/2021 17:13:07,8189,Austral,30 a 34,Masculino,No,UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,Economia,300 a 1000 horas,100% de mi bolsillo,40 a 50,Solo Austral,Si,Si,"Ciudad Universitaria, Capital Federal",1,Inquilino,No,Ambos,Alto,No,ambas
9/15/2021 22:35:41,1078109,UBA,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Ingenieria de Software,300 a 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,No,"Ciudad Universitaria, Capital Federal",0,Inquilino,Si,Conocimiento,Alto,No,ninguna
9/15/2021 22:52:06,2258496,Austral,30 a 34,Femenino,No,UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,otro,0 a 299 horas,100% de mi bolsillo,40 a 50,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Medio,No,ninguna
9/16/2021 10:19:38,10010001,Austral,menor a 30,Masculino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,0 a 299 horas,100% de mi bolsillo,mas de 50 horas,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Medio,No,ninguna
9/16/2021 10:22:10,551328,Austral,35 a 39,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Ingenieria de Software,mas de 1000 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Medio,No,ninguna
9/16/2021 10:44:07,987654321,UBA,30 a 34,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,otro,0 a 299 horas,Mi empleador me cubre el 100%,40 a 50,Solo UBA,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,No,Ambos,Alto,Si,ninguna
9/16/2021 12:22:44,12631960,UBA,menor a 30,Femenino,No,UBA,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",otras Ciencias Sociales,0 a 299 horas,100% de mi bolsillo,De 20 a 39,Solo UBA,Si,No,"Ciudad Universitaria, Capital Federal",0,Inquilino,Si,Ambos,Medio,No,UBA
9/16/2021 18:42:24,9603151,UBA,30 a 34,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,Exactas,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo UBA,Si,No,"Ciudad Universitaria, Capital Federal",0,Inquilino,Si,Ambos,Alto,Si,UBA
9/16/2021 18:52:27,23,UBA,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,300 a 1000 horas,100% de mi bolsillo,40 a 50,Ambas,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Alto,Si,ninguna
9/16/2021 19:22:09,710,Austral,menor a 30,Femenino,No,UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Economia,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ambas,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Conocimiento,Medio,Si,Austral
9/16/2021 20:45:43,999983,Austral,menor a 30,Masculino,No,UBA,Tecnico,Tecnico,"Si, estoy dipuesto a cursar 3 dias",Si,Economia,300 a 1000 horas,100% de mi bolsillo,De 20 a 39,Ninguna,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Alto,Si,Austral
9/16/2021 21:48:59,451976,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Ingenieria de Software,300 a 1000 horas,100% de mi bolsillo,40 a 50,Solo Austral,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Alto,Si,ambas
9/17/2021 1:46:54,35361455,Austral,menor a 30,Femenino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"No, solo hasta dos dias","No, puede que no",Otras ingenierias,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ninguna,No,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,No,Curriculum,Medio,No,Austral
9/17/2021 9:45:12,24524486,Austral,45 y mas,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Negocios,"No, solo hasta dos dias",Si,Ingenieria de Software,300 a 1000 horas,100% de mi bolsillo,De 20 a 39,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Medio,Si,Austral
9/17/2021 12:43:22,24925,Austral,30 a 34,Femenino,No,Universidad Publica distinta a UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,Otras ingenierias,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Alto,Si,ninguna